State,FileID,PromptID,DocID,Temp,ThreadID,HeadScore,ExScoreP,ExScoreR,ExScoreF1,UT,UT1,UT2
I,0,1,0,0.4,thread_dQKlrnyHWziIWkqhmUIKMjgO,1.0,0.127,-0.307,-0.098,0.000,0.000,0.000
I,0,1,0,0.4,thread_IcQ2O1khaRwlO90OBRVomib6,0.0,0.044,-0.200,-0.079,0.000,0.000,0.000
I,0,1,0,0.4,thread_tFWdKfp3QvlaJCHsg9pXBAfz,0.0,0.007,-0.215,-0.105,0.000,0.000,0.000
I,0,1,0,0.4,thread_QKzYIO5Z4iaxpeLUdqJct1aB,0.0,0.020,-0.168,-0.074,0.000,0.000,0.000
I,1,1,0,0.4,thread_EOfKkss1ZGRFQg3cQFzZWZgu,1.0,0.239,-0.412,-0.107,0.727,0.571,1.000
I,1,1,0,0.4,thread_3YEIhbswNFWjTyAnQN8DFPlN,1.0,0.214,-0.403,-0.112,0.727,0.571,1.000
I,1,1,0,0.4,thread_FrRE9Zrm2QSpCi1jFSpFKRAp,1.0,0.239,-0.412,-0.107,0.727,0.571,1.000
I,1,1,0,0.4,thread_iCpFXrlqcHPgLk78bZ2K96q9,1.0,0.239,-0.412,-0.107,0.727,0.571,1.000
I,1,1,0,0.4,thread_PP9kQuSOHhaGzQngXXIuiSZG,1.0,0.239,-0.412,-0.107,0.727,0.571,1.000
I,1,1,0,0.4,thread_UP3UFMrT3nlcov6tPVlg3zuX,1.0,0.214,-0.403,-0.112,0.727,0.571,1.000
I,1,1,0,0.4,thread_Iak9yg5HNF70p7FgXkmsjwzL,1.0,0.214,-0.403,-0.112,0.727,0.571,1.000
I,1,1,0,0.4,thread_BV8nx71mCKVqHKo12i8lVpxX,1.0,0.214,-0.403,-0.112,0.727,0.571,1.000
I,1,1,0,0.4,thread_iNPdg9zTOtKox77dfdzet0iN,1.0,0.214,-0.403,-0.112,0.727,0.571,1.000
I,1,1,0,0.4,thread_FxfKtLoRZgcvFN5OnHuONKux,1.0,0.239,-0.412,-0.107,0.727,0.571,1.000
I,2,1,0,0.4,thread_DBBzgP3i0XT5ZnX3yWCMN2qi,0.0,0.009,-0.193,-0.092,0.000,0.000,0.000
I,2,1,0,0.4,thread_zgnEVW5bV2xX0pqYhz4uTo4S,0.0,0.004,-0.123,-0.059,0.000,0.000,0.000
I,2,1,0,0.4,thread_b8c6yYnOryWNiUyIElTEcGZz,1.0,0.068,-0.328,-0.136,0.667,0.500,1.000
I,2,1,0,0.4,thread_FwTUxF4iLsIHkEQxL5irH1fz,0.0,0.066,-0.135,-0.035,0.000,0.000,0.000
I,2,1,0,0.4,thread_PMWf2CuHX6WnbhVdMIJwXBtQ,1.0,0.105,-0.190,-0.045,0.500,0.333,1.000
I,2,1,0,0.4,thread_N8aGjTISqlexFDtkjfqszme5,0.0,0.031,-0.175,-0.072,0.000,0.000,0.000
I,2,1,0,0.4,thread_wU9WqqVJmBytDb0i617KkoXW,1.0,0.105,-0.190,-0.045,0.500,0.333,1.000
I,2,1,0,0.4,thread_cMe1qgV0Joc8klWy47ZWfgno,1.0,0.104,-0.200,-0.051,0.500,0.333,1.000
I,2,1,0,0.4,thread_qbVftiURRbuHl4Eg0oKuMLHg,1.0,0.105,-0.190,-0.045,0.500,0.333,1.000
I,2,1,0,0.4,thread_X4gDG66XbguVUBbXXphN65n6,0.0,0.001,-0.172,-0.085,0.000,0.000,0.000
I,3,1,0,0.4,thread_QKaDxZOzOpsrNVzzqU5wzB8V,1.0,0.073,-0.383,-0.164,0.800,0.667,1.000
I,3,1,0,0.4,thread_JPtINlomtsZCtESpa4Xxjig9,1.0,0.098,-0.062,0.018,0.800,0.667,1.000
I,3,1,0,0.4,thread_ZCG7N2SwgTwmsnlIjTmODaea,1.0,0.073,-0.376,-0.160,0.800,0.667,1.000
I,3,1,0,0.4,thread_bPlMwNwiScucIXLLwZNPpgS4,1.0,0.073,-0.376,-0.160,0.800,0.667,1.000
I,3,1,0,0.4,thread_c1Cth1C6rljy8o1nmF2OVIqo,1.0,0.073,-0.376,-0.160,0.800,0.667,1.000
I,3,1,0,0.4,thread_JRmx5AkQWOUdb0y7LHWnsMtB,1.0,0.073,-0.376,-0.160,0.800,0.667,1.000
I,3,1,0,0.4,thread_Fy3Cvjy1gthAUbepyXHq5DHr,1.0,0.073,-0.376,-0.160,0.800,0.667,1.000
I,3,1,0,0.4,thread_qpLtMuF5VoBlLhktbEDwmu12,1.0,0.044,-0.548,-0.268,0.800,0.667,1.000
I,3,1,0,0.4,thread_wLYTFoP1kowTp7cTFP6SDsW7,1.0,0.073,-0.376,-0.160,0.800,0.667,1.000
I,3,1,0,0.4,thread_rYqWr89creXeQeCDJCNhqVEf,1.0,0.073,-0.376,-0.160,0.800,0.667,1.000
S,4,1,0,0.4,thread_MSN3PwWzKEpxBNb1ayVjYmYu,1.0,-0.007,-0.044,-0.024,1.000,1.000,1.000
S,4,1,0,0.4,thread_l5Vh772EyHXTHJr4iMd5buiY,1.0,0.044,0.051,0.049,1.000,1.000,1.000
S,4,1,0,0.4,thread_sbFXriRgRbbONeVTvy6WlJT5,0.0,-0.143,-0.277,-0.209,0.000,0.000,0.000
S,4,1,0,0.4,thread_bDD2HigjovPp0zfTdkv65Eco,1.0,0.011,-0.049,-0.018,1.000,1.000,1.000
S,4,1,0,0.4,thread_FWquGpIdrri9IP4yQ6ypOTAb,1.0,0.003,-0.052,-0.023,1.000,1.000,1.000
S,4,1,0,0.4,thread_vnEE2NY2idefTPG9XvGyzW5W,0.0,-0.040,-0.014,-0.026,0.000,0.000,0.000
S,4,1,0,0.4,thread_dJPBZ8DOflCNthcuPcPqENRJ,1.0,0.009,-0.102,-0.046,1.000,1.000,1.000
S,4,1,0,0.4,thread_exzOYyXIHaOxysTGTbPS2MHm,1.0,-0.007,-0.146,-0.076,1.000,1.000,1.000
S,4,1,0,0.4,thread_YuRy92KFGdiLz6MYmSeCEVxS,1.0,0.024,-0.075,-0.024,1.000,1.000,1.000
S,4,1,0,0.4,thread_g3Zw77w99FNCyT8Gz3I2lAxt,1.0,0.011,-0.036,-0.011,1.000,1.000,1.000
S,5,1,0,0.4,thread_aabnKaKBN2cT6bffooyVbUPR,0.0,-0.071,-0.199,-0.134,0.000,0.000,0.000
S,5,1,0,0.4,thread_HZvTs1ahGfQ6wu0gmZpEcrrv,0.0,-0.059,-0.089,-0.072,0.000,0.000,0.000
S,5,1,0,0.4,thread_oVPifia3Mhzc1sXstiz99naq,1.0,-0.001,-0.122,-0.060,1.000,1.000,1.000
S,5,1,0,0.4,thread_tAvqGFghilxFROChQv0wqD0N,0.0,-0.020,0.044,0.013,0.000,0.000,0.000
S,5,1,0,0.4,thread_09LYLZwrruPJt8XzUnzGrvyy,1.0,0.056,-0.138,-0.042,1.000,1.000,1.000
S,5,1,0,0.4,thread_CkzCVXDv9cSxwoFy31WetWt2,0.0,-0.077,-0.194,-0.134,0.000,0.000,0.000
S,5,1,0,0.4,thread_xEHQPZRgeIlXcuco7mJnLC8l,0.0,-0.330,-0.727,-0.535,0.000,0.000,0.000
S,5,1,0,0.4,thread_VhJUJcAz1jyIb7V9kzYakdc8,1.0,0.052,-0.252,-0.103,1.000,1.000,1.000
S,5,1,0,0.4,thread_7q9QfV3LsLk3dx3xX2PGvLrE,0.0,-0.028,-0.123,-0.074,0.000,0.000,0.000
